frame.number,TotW,TotVar,Phv.neut.ang,A.phsA,vsd1_speed,vsd2_speed,scada_q2c_sync_activated,q2c_in_sync,gen1_p_negative,gen2_p_negative,label
1401,0,0,-110.7012787,0,7501,7500,-1,0,0,0,normal
3033,0,0,-115.1237946,0,7501,7500,-1,0,0,0,normal
4634,0,0,-117.122879,0,7501,7500,-1,0,0,0,normal
6226,0,0,-119.4177704,0,7501,7500,-1,0,0,0,normal
7868,0,0,-122.195816,0,7501,7500,-1,0,0,0,normal
9462,0,0,-123.2110901,0,7501,7500,-1,0,0,0,normal
11027,0,0,-127.2223358,0,7502,7500,1,0,0,0,normal
12637,0,0,-128.8628693,0,7502,7500,1,0,0,0,normal
14238,0,0,-135.502243,0,7502,7500,1,0,0,0,normal
15884,0,0,-138.6355438,0,7502,7500,1,0,0,0,normal
17481,0,0,-144.4057312,0,7502,7500,1,0,0,0,normal
19068,0,0,-148.1269226,0,7502,7500,1,0,0,0,normal
20648,0,0,-152.1524353,0,7502,7500,1,0,0,0,normal
22249,0,0,-158.41716,0,7502,7500,1,0,0,0,normal
23888,0,0,-161.1206512,0,7502,7500,1,0,0,0,normal
25517,0,0,-167.6773071,0,7502,7500,1,0,0,0,normal
27064,0,0,-172.649765,0,7502,7500,1,0,0,0,normal
28653,0,0,-176.8911591,0,7502,7500,1,0,0,0,normal
30233,0,0,177.7159882,0,7502,7500,1,0,0,0,normal
31870,0,0,175.832077,0,7502,7500,1,0,0,0,normal
33430,0,0,168.0131989,0,7502,7500,1,0,0,0,normal
35016,0,0,165.6215363,0,7502,7500,1,0,0,0,normal
36611,0,0,159.3783264,0,7502,7500,1,0,0,0,normal
38218,0,0,155.7044983,0,7502,7500,1,0,0,0,normal
39854,0,0,149.8993835,0,7502,7500,1,0,0,0,normal
41530,0,0,146.3329468,0,7502,7500,1,0,0,0,normal
43263,0,0,142.3457794,0,7502,7500,1,0,0,0,normal
44839,0,0,136.1015472,0,7502,7500,1,0,0,0,normal
47081,0,0,133.7628784,0,7502,7500,1,0,0,0,normal
49109,0,0,126.8587036,0,7502,7500,1,0,0,0,normal
50695,0,0,123.0127487,0,7502,7500,1,0,0,0,normal
52285,0,0,117.127243,0,7502,7500,1,0,0,0,normal
53843,0,0,111.4118576,0,7502,7500,1,0,0,0,normal
55411,0,0,107.4423294,0,7502,7500,1,0,0,0,normal
57056,0,0,100.482193,0,7502,7500,1,0,0,0,normal
58681,0,0,98.07762909,0,7502,7500,1,0,0,0,normal
60242,0,0,91.45384216,0,7502,7500,1,0,0,0,normal
61846,0,0,89.16607666,0,7502,7500,1,0,0,0,normal
63423,0,0,83.87149048,0,7502,7500,1,0,0,0,normal
65045,0,0,80.12376404,0,7502,7500,1,0,0,0,normal
66630,0,0,75.53395081,0,7502,7500,1,0,0,0,normal
68223,0,0,70.01077271,0,7502,7500,1,0,0,0,normal
69818,0,0,67.26746368,0,7502,7500,1,0,0,0,normal
71410,0,0,60.415802,0,7502,7500,1,0,0,0,normal
73070,0,0,57.11301041,0,7502,7500,1,0,0,0,normal
74668,0,0,46.00217056,0,7502,7500,1,0,0,0,normal
76302,0,0,40.55538559,0,7502,7500,1,0,0,0,normal
77881,0,0,34.75947189,0,7502,7500,1,0,0,0,normal
79521,0,0,32.90994263,0,7502,7500,1,0,0,0,normal
81140,0,0,25.01766586,0,7502,7500,1,0,0,0,normal
82701,0,0,22.99921608,0,7502,7500,1,0,0,0,normal
84274,0,0,16.43086433,0,7502,7500,1,0,0,0,normal
85863,0,0,13.84601593,0,7502,7500,1,0,0,0,normal
87488,0,0,9.887710571,0,7502,7500,1,0,0,0,normal
89114,0,0,4.829864502,0,7502,7500,1,0,0,0,normal
90969,0,0,-0.169448838,0,7502,7500,1,0,0,0,normal
92579,0,0,-0.132095337,0.549999952,7501,7500,0,1,0,0,normal
94257,133.8503571,401.2492981,-0.142120361,0.724999964,7501,7500,0,1,0,0,normal
96614,178.241806,424.7066345,-0.106956482,0.74999994,7501,7500,0,1,0,0,normal
98551,190.8095245,465.6210938,-0.127037048,0.799999893,7501,7500,0,1,0,0,normal
100128,274.4976807,492.4226074,-0.198219284,0.849999905,7501,7500,0,1,0,0,normal
101734,281.9827881,494.9337158,-0.166183472,0.874999881,7501,7500,0,1,0,0,normal
103294,295.9267578,519.9846191,-0.172615051,0.949999928,7501,7500,0,1,0,0,normal
104910,382.8987732,521.6386108,-0.153533936,0.974999905,7501,7500,0,1,0,0,normal
106545,331.770752,527.2282104,-0.132911667,0.924999893,7501,7500,0,1,0,0,normal
108133,446.7634888,494.7405396,-0.150802612,0.974999905,7501,7500,0,1,0,0,normal
109725,488.8852539,462.1321106,-0.136116013,0.99999994,7501,7500,0,1,0,0,normal
111321,457.6531067,499.8956299,-0.166030884,1.024999857,7501,7500,0,1,0,0,normal
112962,576.3280029,470.015564,-0.156829834,1.074999928,7501,7500,0,1,0,0,normal
114557,579.5756226,474.6394653,-0.125099182,1.074999928,7501,7500,0,1,0,0,normal
116157,556.5891113,486.0602112,-0.161621094,1.049999952,7501,7500,0,1,0,0,normal
117753,670.0366211,391.7239075,-0.16488646,1.099999905,7501,7500,0,1,0,0,normal
119343,702.3553467,443.0692139,-0.120185837,1.199999809,7501,7500,0,1,0,0,normal
120972,692.2745361,456.3009338,-0.195327744,1.224999905,7501,7500,0,1,0,0,normal
122585,809.7301025,412.018219,-0.097366333,1.274999976,7501,7500,0,1,0,0,normal
124206,810.2372437,424.2840881,-0.164543137,1.274999976,7501,7500,0,1,0,0,normal
125790,853.1799927,408.1186829,-0.139938354,1.324999928,7501,7500,0,1,0,0,normal
127370,969.8386841,365.0431824,-0.130027756,1.449999928,7501,7500,0,1,0,0,normal
128981,929.8659668,401.1889343,-0.187957764,1.424999833,7501,7500,0,1,0,0,normal
130612,937.3751831,397.0600586,-0.1469879,1.424999833,7501,7500,0,1,0,0,normal
132218,1038.255005,355.3005066,-0.152061448,1.499999881,7501,7500,0,1,0,0,normal
133816,1055.844849,360.8539429,-0.13035582,1.549999952,7501,7500,0,1,0,0,normal
135426,1088.658569,358.3910828,-0.11582946,1.624999881,7501,7500,0,1,0,0,normal
137028,1175.920288,319.4203491,-0.158813477,1.674999833,7501,7500,0,1,0,0,normal
138651,1192.254761,323.7302856,-0.145172119,1.699999809,7501,7500,0,1,0,0,normal
140414,1207.236938,363.6065369,-0.183319077,1.749999762,7501,7500,0,1,0,0,normal
141995,1243.889771,302.4822998,-0.178100571,1.774999857,7501,7500,0,1,0,0,normal
144172,1337.163696,304.6312256,-0.186096191,1.874999881,7501,7500,0,1,0,0,normal
146329,1306.897339,300.1281128,-0.110488892,1.874999881,7501,7500,0,1,0,0,normal
147907,1349.103638,300.200531,-0.143432617,1.899999857,7501,7500,0,1,0,0,normal
149512,1404.360596,305.0296326,-0.188980103,1.974999905,7501,7500,0,1,0,0,normal
151074,1421.093262,278.9404602,-0.151062012,1.999999881,7501,7500,0,1,0,0,normal
152670,1515.308838,239.7644501,-0.146224961,2.124999762,7501,7500,0,1,0,0,normal
154307,1551.889282,242.5170288,-0.127853394,2.174999714,7501,7500,0,1,0,0,normal
155883,1555.136963,266.0467834,-0.208755493,2.174999714,7500,7501,0,1,0,0,normal
157516,1630.844971,245.4386139,-0.177764893,2.249999762,7500,7500,0,1,0,0,normal
159090,1548.581177,257.004303,-0.179794297,2.149999857,7500,7501,0,1,0,0,normal
160694,1503.537964,305.838501,-0.1587677,2.149999857,7501,7500,0,1,0,0,normal
162331,1559.072388,274.7874451,-0.131072998,2.199999809,7501,7500,0,1,0,0,normal
163968,1677.988892,218.7941132,-0.157928467,2.324999809,7500,7501,0,1,0,0,normal
165598,1519.160034,288.8521729,-0.126495361,2.149999857,7501,7500,0,1,0,0,normal
167183,1580.803345,247.1529388,-0.135467529,2.199999809,7501,7500,0,1,0,0,normal
168840,1646.165161,230.1303864,-0.193145752,2.249999762,7500,7501,0,1,0,0,normal
170455,1501.509766,290.4578552,-0.147094727,2.124999762,7500,7501,0,1,0,0,normal
172052,1560.811035,266.565918,-0.164062485,2.149999857,7501,7500,0,1,0,0,normal
173619,1603.753784,265.2741089,-0.09437561,2.224999666,7501,7500,0,1,0,0,normal
175246,1611.625244,247.5392761,-0.174087524,2.199999809,7500,7501,0,1,0,0,normal
176841,1500.640503,310.28125,-0.129211426,2.124999762,7500,7501,0,1,0,0,normal
178472,1574.368774,261.6281433,-0.152679428,2.224999666,7501,7500,0,1,0,0,normal
180089,1563.140991,259.7327576,-0.164413437,2.174999714,7501,7500,0,1,0,0,normal
181696,1657.561768,233.5711212,-0.1537323,2.274999857,7501,7500,0,1,0,0,normal
183278,1581.081055,286.0029907,-0.1419525,2.199999809,7500,7501,0,1,0,0,normal
184894,1559.470947,263.9944458,-0.164901718,2.124999762,7500,7501,0,1,0,0,normal
186523,1581.057007,249.5674896,-0.146255493,2.199999809,7501,7500,0,1,0,0,normal
188130,1639.066406,236.83078,-0.159713745,2.299999714,7501,7500,0,1,0,0,normal
189862,1611.552734,252.1269226,-0.193145752,2.249999762,7500,7501,0,1,0,0,normal
191436,1564.891479,270.3808899,-0.140594468,2.174999714,7500,7501,0,1,0,0,normal
193687,1506.04895,291.0735474,-0.170471177,2.124999762,7501,7500,0,1,0,0,normal
195819,1554.557251,292.087677,-0.147262558,2.149999857,7501,7500,0,1,0,0,normal
197417,1650.463135,237.0480804,-0.122543328,2.299999714,7500,7501,0,1,0,0,normal
198985,1589.242188,244.4365692,-0.203460693,2.249999762,7500,7501,0,1,0,0,normal
200723,1488.096924,288.2364807,-0.125457764,2.074999809,7501,7500,0,1,0,0,normal
202336,1586.344849,287.5845337,-0.173980698,2.199999809,7500,7501,0,1,0,0,normal
203936,1460.450439,296.0716553,-0.155715942,2.024999619,7501,7500,0,1,0,0,normal
205540,1558.939697,262.6664124,-0.11242675,2.174999714,7501,7500,0,1,0,0,normal
207176,1620.245117,233.8005066,-0.189849854,2.274999857,7500,7501,0,1,0,0,normal
208740,1589.725098,239.1849518,-0.120300293,2.224999666,7500,7501,0,1,0,0,normal
210356,1486.913818,291.1218567,-0.200927734,2.074999809,7501,7500,0,1,0,0,normal
211969,1553.362183,262.2559509,-0.147308335,2.149999857,7501,7500,0,1,0,0,normal
213532,1536.97937,286.2927551,-0.150192246,2.149999857,7501,7500,0,1,0,0,normal
215173,1658.588135,219.4460297,-0.155471802,2.299999714,7501,7501,0,1,0,0,normal
216785,1617.347656,249.6278381,-0.173500046,2.224999666,7500,7501,0,1,0,0,normal
218432,1570.915771,273.4111633,-0.154342651,2.224999666,7500,7501,0,1,0,0,normal
220064,1504.986572,324.3218384,-0.127937317,2.099999905,7500,7501,0,1,0,0,normal
221689,1532.017456,278.5420532,-0.215980515,2.149999857,7501,7500,0,1,0,0,normal
223291,1534.806274,299.2347107,-0.135223374,2.149999857,7501,7500,0,1,0,0,normal
224902,1593.793579,243.6639404,-0.197715744,2.224999666,7501,7500,0,1,0,0,normal
226522,1566.36438,263.0768738,-0.144592285,2.174999714,7500,7501,0,1,0,0,normal
228126,1556.464966,288.1640015,-0.133857712,2.224999666,7500,7501,0,1,0,0,normal
229737,1499.578125,312.6716919,-0.183593735,2.124999762,7501,7500,0,1,0,0,normal
231336,1568.175415,275.8981323,-0.133590683,2.149999857,7501,7500,0,1,0,0,normal
232952,1621.766235,262.3404541,-0.178642258,2.249999762,7500,7501,0,1,0,0,normal
234603,1600.288818,280.6185608,-0.13627623,2.224999666,7500,7501,0,1,0,0,normal
236207,1514.343018,275.9101868,-0.164367676,2.099999905,7501,7500,0,1,0,0,normal
238060,1525.643188,286.6307678,-0.133422852,2.124999762,7501,7500,0,1,0,0,normal
239628,1568.64624,249.3139801,-0.145973206,2.174999714,7501,7500,0,1,0,0,normal
241231,1665.84375,209.594696,-0.121772759,2.299999714,7500,7501,0,1,0,0,normal
243469,1611.142212,245.2333832,-0.163604721,2.274999857,7500,7501,0,1,0,0,normal
245539,1526.077637,276.9726257,-0.147933945,2.149999857,7501,7500,0,1,0,0,normal
247131,1542.665649,251.9941254,-0.190910339,2.149999857,7501,7500,0,1,0,0,normal
248700,1644.342285,236.57724,-0.139060974,2.249999762,7500,7501,0,1,0,0,normal
250266,1590.630493,259.4550781,-0.200012207,2.199999809,7500,7501,0,1,0,0,normal
251934,1565.302002,296.5545349,-0.133323655,2.149999857,7500,7501,0,1,0,0,normal
253534,1507.908203,283.5401611,-0.1484375,2.124999762,7501,7500,0,1,0,0,normal
255146,1530.242676,258.972168,-0.160186768,2.124999762,7501,7500,0,1,0,0,normal
256735,1578.521606,252.2959442,-0.148292527,2.174999714,7501,7500,0,1,0,0,normal
258326,1566.086792,260.0828552,-0.151710495,2.174999714,7500,7501,0,1,0,0,normal
259977,1536.049805,292.5101929,-0.162261963,2.124999762,7500,7501,0,1,0,0,normal
261589,1529.554688,296.6873474,-0.16387175,2.149999857,7501,7500,0,1,0,0,normal
263211,1533.200684,273.5318909,-0.128654465,2.124999762,7501,7500,0,1,0,0,normal
264813,1593.636719,283.7816162,-0.139259338,2.224999666,7500,7501,0,1,0,0,normal
266439,1510.395264,299.0657043,-0.141891465,2.099999905,7500,7501,0,1,0,0,normal
268082,1586.079224,280.3287964,-0.16853331,2.199999809,7501,7500,0,1,0,0,normal
269712,1531.100098,279.4958191,-0.133869171,2.124999762,7500,7501,0,1,0,0,normal
271295,1488.929932,313.9151611,-0.15801239,2.124999762,7500,7501,0,1,0,0,normal
272887,1555.957764,278.9525452,-0.1430168,2.149999857,7501,7500,0,1,0,0,normal
274498,1583.085205,266.6987305,-0.146415696,2.199999809,7501,7500,0,1,0,0,normal
276119,1486.020386,318.0923157,-0.190544128,2.049999714,7500,7501,0,1,0,0,normal
277742,1554.834961,293.3794556,-0.153438568,2.149999857,7501,7500,0,1,0,0,normal
279311,1647.589722,211.2969513,-0.173931107,2.299999714,7501,7500,0,1,0,0,normal
280905,1626.365967,261.8816833,-0.150165543,2.299999714,7500,7501,0,1,0,0,normal
282532,1483.968018,298.9811707,-0.13155365,2.074999809,7500,7501,0,1,0,0,normal
284151,1549.14856,276.6104431,-0.180030823,2.124999762,7501,7500,0,1,0,0,normal
285739,1530.158325,285.5200806,-0.134483323,2.149999857,7501,7500,0,1,0,0,normal
287469,1650.245728,231.6757202,-0.194889054,2.299999714,7501,7500,0,1,0,0,normal
289071,1613.508545,274.9564514,-0.122104637,2.274999857,7500,7501,0,1,0,0,normal
290674,1529.880615,325.3117981,-0.139255509,2.174999714,7500,7501,0,1,0,0,normal
293280,1518.133789,311.9231567,-0.161716446,2.124999762,7501,7500,0,1,0,0,normal
294984,1587.9021,265.7328796,-0.15123938,2.174999714,7500,7501,0,1,0,0,normal
296603,1499.384888,287.2947998,-0.175449356,2.124999762,7501,7500,0,1,0,0,normal
298214,1547.482666,268.7631531,-0.157670975,2.149999857,7501,7500,0,1,0,0,normal
299863,1658.817383,228.0780487,-0.134674057,2.299999714,7500,7501,0,1,0,0,normal
301463,1535.349609,303.6171265,-0.145004272,2.149999857,7501,7500,0,1,0,0,normal
303086,1576.19165,271.4191284,-0.157079697,2.174999714,7500,7501,0,1,1,1,fdia
304675,1517.940796,316.0399475,-0.169197083,2.124999762,7500,7501,0,1,1,1,fdia
306285,1520.246704,314.7481995,-0.168558106,2.149999857,7500,7501,0,1,1,1,fdia
307926,1514.850098,305.6211853,-0.16768074,2.124999762,7500,7501,0,1,1,1,fdia
309700,1407.294067,314.2773438,-0.116868965,1.999999881,7500,7501,0,1,1,1,fdia
311252,1304.349976,372.9387512,-0.16160582,1.874999881,7500,7501,0,1,1,1,fdia
312878,1323.980225,342.7327576,-0.137974739,1.874999881,7500,7501,0,1,1,1,fdia
314530,1264.353027,379.7477417,-0.173483834,1.799999833,7500,7501,0,1,1,1,fdia
316138,1207.635254,401.7804871,-0.132537842,1.774999857,7500,7501,0,1,1,1,fdia
317750,1153.513184,390.5649414,-0.130707502,1.699999809,7500,7501,0,1,1,1,fdia
319334,1193.425659,388.5608521,-0.187969208,1.749999762,7500,7501,0,1,1,1,fdia
320931,1099.548096,412.0664673,-0.143812001,1.649999976,7500,7501,0,1,1,1,fdia
322528,1002.254028,407.6719971,-0.150678381,1.499999881,7500,7501,0,1,1,1,fdia
324131,1043.144287,405.474762,-0.173246384,1.549999952,7500,7501,0,1,1,1,fdia
325707,959.5527344,434.9201355,-0.13378191,1.499999881,7500,7501,0,1,1,1,fdia
327282,891.8850708,451.4718933,-0.139648438,1.424999833,7500,7501,0,1,1,1,fdia
328884,912.8312988,434.6665955,-0.173845276,1.424999833,7500,7501,0,1,1,1,fdia
330481,775.9627075,481.4364014,-0.142119408,1.324999928,7500,7501,0,1,1,1,fdia
332121,748.0505981,490.4667664,-0.183271408,1.249999881,7500,7501,0,1,1,1,fdia
333728,786.3934937,460.0193481,-0.104961395,1.274999976,7500,7501,0,1,1,1,fdia
335311,652.9657593,510.6282349,-0.173784241,1.174999952,7500,7501,0,1,1,1,fdia
337042,611.0975342,485.6256104,-0.153944016,1.124999881,7500,7501,0,1,1,1,fdia
338666,534.4960327,523.3408203,-0.171134949,1.099999905,7500,7501,0,1,1,1,fdia
340923,523.6668091,524.210083,-0.086561196,1.074999928,7500,7501,0,1,1,1,fdia
343010,464.3534851,555.2731934,-0.139526367,1.049999952,7500,7501,0,1,1,1,fdia
344607,420.1914063,577.1369019,-0.157197952,1.024999857,7500,7501,0,1,1,1,fdia
346195,440.6426392,523.7271729,-0.157321915,1.024999857,7500,7501,0,1,1,1,fdia
347808,381.4017334,581.9297485,-0.114295952,1.024999857,7500,7501,0,1,1,1,fdia
349414,289.1177673,598.0951538,-0.163665757,0.99999994,7500,7501,0,1,1,1,fdia
351024,256.0143433,625.548584,-0.167160019,0.99999994,7500,7501,0,1,1,1,fdia
352602,201.5783844,633.0095825,-0.147521958,0.974999905,7500,7501,0,1,1,1,fdia
354179,194.6607208,631.1020508,-0.176216125,0.949999928,7500,7501,0,1,1,1,fdia
355771,142.0718994,626.598938,-0.11684417,0.924999893,7500,7501,0,1,1,1,fdia
357412,85.86126709,654.7404175,-0.175930008,0.949999928,7500,7501,0,1,1,1,fdia
359016,43.5946312,651.6860352,-0.120933533,0.974999905,7500,7501,0,1,1,1,fdia
360604,-24.85775185,622.7839355,-0.130680069,0.949999928,7500,7501,0,1,1,1,fdia
362149,0.627782047,672.0044556,-0.165363312,0.949999928,7500,7501,0,1,1,1,fdia
363776,-45.52626801,689.18396,-0.131179795,0.974999905,7500,7501,0,1,1,1,fdia
365384,-129.5283203,671.7871704,-0.184921265,0.99999994,7500,7501,0,1,1,1,fdia
366977,-129.9750214,690.6567993,-0.110881798,1.024999857,7500,7501,0,1,1,1,fdia
368549,-263.414917,729.3499146,-0.141895294,1.149999857,7500,7501,0,1,1,1,fdia
370124,-239.3056793,718.0618896,-0.117355347,1.124999881,7500,7501,0,1,1,1,fdia
371741,-280.15979,702.7537231,-0.136680588,1.124999881,7500,7501,0,1,1,1,fdia
373356,-300.0556641,695.208252,-0.146430954,1.074999928,7500,7501,0,1,1,1,fdia
374942,-410.1589661,727.7321777,-0.15240477,1.224999905,7500,7501,0,1,1,1,fdia
