frame.number,TotW,TotVar,Phv.neut.ang,A.phsA,vsd1_speed,vsd2_speed,scada_q2c_sync_activated,q2c_in_sync,gen1_p_negative,gen2_p_negative,label
1042,0,0,-65.48977661,0,7501,7500,-1,0,0,0,normal
2680,0,0,-68.3562851,0,7501,7500,-1,0,0,0,normal
4296,0,0,-70.51025391,0,7501,7500,-1,0,0,0,normal
5966,0,0,-72.93050385,0,7501,7500,-1,0,0,0,normal
7612,0,0,-75.49745941,0,7501,7500,-1,0,0,0,normal
9225,0,0,-77.67995453,0,7501,7500,-1,0,0,0,normal
10856,0,0,-80.26607513,0,7501,7500,-1,0,0,0,normal
12498,0,0,-79.93462372,0,7501,7500,-1,0,0,0,normal
14166,0,0,-84.41152954,0,7501,7500,-1,0,0,0,normal
15810,0,0,-87.06790161,0,7501,7500,-1,0,0,0,normal
17469,0,0,-88.57288361,0,7501,7500,-1,0,0,0,normal
19120,0,0,-90.61244202,0,7501,7500,-1,0,0,0,normal
20798,0,0,-93.58106232,0,7501,7500,-1,0,0,0,normal
22497,0,0,-95.73262024,0,7502,7500,1,0,0,0,normal
24143,0,0,-97.57344818,0,7502,7500,1,0,0,0,normal
25789,0,0,-104.5264053,0,7502,7500,1,0,0,0,normal
27413,0,0,-108.4171982,0,7502,7500,1,0,0,0,normal
29081,0,0,-110.6712799,0,7502,7500,1,0,0,0,normal
30742,0,0,-117.3945694,0,7502,7500,1,0,0,0,normal
32393,0,0,-123.3685913,0,7502,7500,1,0,0,0,normal
34058,0,0,-125.9799881,0,7502,7500,1,0,0,0,normal
35702,0,0,-131.6210938,0,7502,7500,1,0,0,0,normal
37371,0,0,-136.1506805,0,7502,7500,1,0,0,0,normal
39011,0,0,-139.1096954,0,7502,7500,1,0,0,0,normal
40656,0,0,-143.825592,0,7502,7500,1,0,0,0,normal
42340,0,0,-150.5942841,0,7502,7500,1,0,0,0,normal
44563,0,0,-155.4475403,0,7502,7500,1,0,0,0,normal
46534,0,0,-157.2241516,0,7502,7500,1,0,0,0,normal
48211,0,0,-169.401947,0,7502,7500,1,0,0,0,normal
50200,0,0,-173.8300629,0,7502,7500,1,0,0,0,normal
51831,0,0,-177.6465912,0,7502,7500,1,0,0,0,normal
53464,0,0,177.1166534,0,7502,7500,1,0,0,0,normal
55088,0,0,171.6462555,0,7502,7500,1,0,0,0,normal
56698,0,0,169.3987427,0,7502,7500,1,0,0,0,normal
58333,0,0,162.5755768,0,7502,7500,1,0,0,0,normal
60004,0,0,157.8459015,0,7502,7500,1,0,0,0,normal
61635,0,0,155.9181061,0,7502,7500,1,0,0,0,normal
63339,0,0,149.6047821,0,7502,7500,1,0,0,0,normal
64986,0,0,144.2526855,0,7502,7500,1,0,0,0,normal
66620,0,0,141.0673981,0,7502,7500,1,0,0,0,normal
68236,0,0,136.6614532,0,7502,7500,1,0,0,0,normal
69860,0,0,129.7213135,0,7502,7500,1,0,0,0,normal
71514,0,0,124.592659,0,7502,7500,1,0,0,0,normal
73137,0,0,123.1832962,0,7502,7500,1,0,0,0,normal
74762,0,0,115.4604721,0,7502,7500,1,0,0,0,normal
76407,0,0,110.8032379,0,7502,7500,1,0,0,0,normal
78035,0,0,107.1966858,0,7502,7500,1,0,0,0,normal
79718,0,0,101.2486267,0,7502,7500,1,0,0,0,normal
81348,0,0,96.53304291,0,7502,7500,1,0,0,0,normal
82994,0,0,93.25164032,0,7502,7500,1,0,0,0,normal
84774,0,0,88.38103485,0,7502,7500,1,0,0,0,normal
86397,0,0,82.27731323,0,7502,7500,1,0,0,0,normal
88067,0,0,77.90868378,0,7502,7500,1,0,0,0,normal
89721,0,0,75.77642822,0,7502,7500,1,0,0,0,normal
91354,0,0,68.2309494,0,7502,7500,1,0,0,0,normal
93308,0,0,64.37866211,0,7502,7500,1,0,0,0,normal
95397,0,0,61.46453476,0,7502,7500,1,0,0,0,normal
97301,0,0,54.84276962,0,7502,7500,1,0,0,0,normal
99121,0,0,49.67956161,0,7502,7500,1,0,0,0,normal
100903,0,0,46.28266525,0,7502,7500,1,0,0,0,normal
102516,0,0,42.93571091,0,7502,7500,1,0,0,0,normal
104145,0,0,34.95823288,0,7502,7500,1,0,0,0,normal
105822,0,0,31.81078911,0,7502,7500,1,0,0,0,normal
107433,0,0,29.07899284,0,7502,7500,1,0,0,0,normal
109063,0,0,20.6024456,0,7502,7500,1,0,0,0,normal
110694,0,0,16.81975555,0,7502,7500,1,0,0,0,normal
112349,0,0,13.94938564,0,7502,7500,1,0,0,0,normal
114068,0,0,7.036521435,0,7502,7500,1,0,0,0,normal
115713,0,0,-0.143379211,0,7501,7500,0,1,0,0,normal
117325,0,0,-0.105613708,0,7501,7500,0,1,0,0,normal
118951,0,0,-0.143623337,0,7501,7500,0,1,0,0,normal
120629,126.8240433,272.5177612,-0.116767876,0.524999976,7501,7500,0,1,0,0,normal
122312,0,0,-0.133995041,0.474999964,7501,7500,0,1,0,0,normal
123965,0,0,-0.157714844,0.474999964,7501,7500,0,1,0,0,normal
125607,0,0,-0.084999077,0,7501,7500,0,1,0,0,normal
127285,277.5883179,155.7503052,-0.180496201,0.49999997,7501,7500,0,1,0,0,normal
128949,340.0767822,74.73020935,-0.146789551,0.474999964,7501,7500,0,1,0,0,normal
130628,415.0001526,20.0045166,-0.107009888,0.574999928,7501,7500,0,1,0,0,normal
132246,399.5953064,52.27492905,-0.088630669,0.574999928,7501,7500,0,1,0,0,normal
133931,467.6010132,14.25789547,-0.151039109,0.599999905,7501,7500,0,1,0,0,normal
135521,491.9999695,-3.114764452,-0.095397942,0.649999917,7501,7500,0,1,0,0,normal
137169,527.0471802,-58.62518311,-0.178161606,0.649999917,7501,7500,0,1,0,0,normal
138827,598.3728638,-122.6951752,-0.129219055,0.74999994,7501,7500,0,1,0,0,normal
140450,633.142334,-162.2575073,-0.140785202,0.824999988,7501,7500,0,1,0,0,normal
142088,660.8130493,-192.7169952,-0.075737,0.874999881,7501,7500,0,1,0,0,normal
144337,684.729126,-218.5767975,-0.139801025,0.949999928,7501,7500,0,1,0,0,normal
146208,774.0914307,-260.2277222,-0.112815857,1.049999952,7501,7500,0,1,0,0,normal
148000,765.9181519,-313.1907959,-0.124702454,1.049999952,7501,7500,0,1,0,0,normal
149836,835.4329834,-372.3230591,-0.196647644,1.174999952,7501,7500,0,1,0,0,normal
151562,861.993042,-373.5182495,-0.103546143,1.249999881,7501,7500,0,1,0,0,normal
153168,925.7612305,-392.4362183,-0.179336533,1.299999833,7501,7500,0,1,0,0,normal
154814,948.0233154,-367.9165039,-0.14094542,1.299999833,7501,7500,0,1,0,0,normal
156430,1010.873962,-414.0222473,-0.118057236,1.424999833,7501,7500,0,1,0,0,normal
158062,1046.633301,-418.1994324,-0.158294663,1.474999905,7501,7500,0,1,0,0,normal
159701,1084.264038,-468.4944153,-0.127891526,1.549999952,7501,7500,0,1,0,0,normal
161340,1136.490723,-456.1440125,-0.141647339,1.624999881,7500,7501,0,1,0,0,normal
162998,1032.302979,-403.7966614,-0.136909485,1.449999928,7500,7501,0,1,0,0,normal
164630,1025.771729,-418.5978394,-0.15266417,1.449999928,7501,7500,0,1,0,0,normal
166228,1041.973267,-377.6350098,-0.163215637,1.474999905,7501,7500,0,1,0,0,normal
167868,1105.886353,-361.469635,-0.129356384,1.549999952,7501,7500,0,1,0,0,normal
169497,1147.730469,-277.938446,-0.130290985,1.524999857,7500,7501,0,1,0,0,normal
171196,1112.526367,-218.311203,-0.171646103,1.524999857,7500,7501,0,1,0,0,normal
172797,1018.250366,-175.899704,-0.118656151,1.349999905,7500,7501,0,1,0,0,normal
174392,983.6016235,-174.185379,-0.102970123,1.299999833,7501,7500,0,1,0,0,normal
176032,1024.974854,-151.6093597,-0.139087677,1.399999857,7501,7500,0,1,0,0,normal
177640,1034.983154,-159.3721161,-0.163303375,1.399999857,7501,7500,0,1,0,0,normal
179277,1153.621948,-222.9350586,-0.121898644,1.574999809,7500,7501,0,1,0,0,normal
180881,1116.208496,-220.9672089,-0.135604858,1.499999881,7500,7501,0,1,0,0,normal
