,frame.number,TotW,TotVar,Phv.neut.ang,A.phsA,vsd1_speed,vsd2_speed,scada_q2c_sync_activated,q2c_in_sync,gen1_p_negative,gen2_p_negative,label
0,46,0.0,0.0,-85.54967499,0.0,7501,7500,-1,0,0,0,normal
1,1576,0.0,0.0,-86.80909729,0.0,7501,7500,-1,0,0,0,normal
2,3063,0.0,0.0,-86.51236725,0.0,7501,7500,-1,0,0,0,normal
3,4585,0.0,0.0,-93.48191071,0.0,7501,7500,-1,0,0,0,normal
4,6159,0.0,0.0,-93.97350311,0.0,7501,7500,-1,0,0,0,normal
5,7696,0.0,0.0,-96.30617523,0.0,7501,7500,-1,0,0,0,normal
6,9230,0.0,0.0,-100.4947586,0.0,7501,7500,-1,0,0,0,normal
7,10733,0.0,0.0,-102.3002396,0.0,7501,7500,-1,0,0,0,normal
8,12246,0.0,0.0,-103.0949249,0.0,7501,7500,-1,0,0,0,normal
9,13807,0.0,0.0,-107.3616867,0.0,7501,7500,-1,0,0,0,normal
10,15316,0.0,0.0,-110.2078171,0.0,7501,7500,-1,0,0,0,normal
11,16850,0.0,0.0,-110.3329391,0.0,7501,7500,1,0,0,0,normal
12,18376,0.0,0.0,-114.5187302,0.0,7502,7500,1,0,0,0,normal
13,19905,0.0,0.0,-121.3160172,0.0,7502,7500,1,0,0,0,normal
14,21593,0.0,0.0,-123.3644028,0.0,7502,7500,1,0,0,0,normal
15,23449,0.0,0.0,-127.7704163,0.0,7502,7500,1,0,0,0,normal
16,25457,0.0,0.0,-134.7563934,0.0,7502,7500,1,0,0,0,normal
17,27285,0.0,0.0,-139.4333649,0.0,7502,7500,1,0,0,0,normal
18,28783,0.0,0.0,-141.1055908,0.0,7502,7500,1,0,0,0,normal
19,30315,0.0,0.0,-148.3099823,0.0,7502,7500,1,0,0,0,normal
20,31869,0.0,0.0,-153.2954102,0.0,7502,7500,1,0,0,0,normal
21,33383,0.0,0.0,-155.1372833,0.0,7502,7500,1,0,0,0,normal
22,34891,0.0,0.0,-160.0133667,0.0,7502,7500,1,0,0,0,normal
23,36473,0.0,0.0,-168.0949402,0.0,7502,7500,1,0,0,0,normal
24,37983,0.0,0.0,-171.0257263,0.0,7502,7500,1,0,0,0,normal
25,39470,0.0,0.0,-174.9799652,0.0,7502,7500,1,0,0,0,normal
26,41007,0.0,0.0,178.4533997,0.0,7502,7500,1,0,0,0,normal
27,42541,0.0,0.0,173.2355957,0.0,7502,7500,1,0,0,0,normal
28,44038,0.0,0.0,171.4283295,0.0,7502,7500,1,0,0,0,normal
29,45563,0.0,0.0,165.4616394,0.0,7502,7500,1,0,0,0,normal
30,47065,0.0,0.0,159.779007,0.0,7502,7500,1,0,0,0,normal
31,48742,0.0,0.0,155.877655,0.0,7502,7500,1,0,0,0,normal
32,50286,0.0,0.0,152.7418671,0.0,7502,7500,1,0,0,0,normal
33,51823,0.0,0.0,145.3866425,0.0,7502,7500,1,0,0,0,normal
34,53369,0.0,0.0,141.6304626,0.0,7502,7500,1,0,0,0,normal
35,54897,0.0,0.0,138.6184082,0.0,7502,7500,1,0,0,0,normal
36,56409,0.0,0.0,131.4258423,0.0,7502,7500,1,0,0,0,normal
37,57943,0.0,0.0,125.9153366,0.0,7502,7500,1,0,0,0,normal
38,59443,0.0,0.0,124.5013809,0.0,7502,7500,1,0,0,0,normal
39,60987,0.0,0.0,119.1033325,0.0,7502,7500,1,0,0,0,normal
40,62517,0.0,0.0,112.8549805,0.0,7502,7500,1,0,0,0,normal
41,64051,0.0,0.0,108.6209641,0.0,7502,7500,1,0,0,0,normal
42,65644,0.0,0.0,106.1852798,0.0,7502,7500,1,0,0,0,normal
43,67139,0.0,0.0,98.09155273,0.0,7502,7500,1,0,0,0,normal
44,68813,0.0,0.0,91.69348145,0.0,7502,7500,1,0,0,0,normal
45,70760,0.0,0.0,85.09295654,0.0,7502,7500,1,0,0,0,normal
46,72702,0.0,0.0,79.95513916,0.0,7502,7500,1,0,0,0,normal
47,74525,0.0,0.0,77.87966919,0.0,7502,7500,1,0,0,0,normal
48,76036,0.0,0.0,72.66488647,0.0,7502,7500,1,0,0,0,normal
49,77578,0.0,0.0,66.35585785,0.0,7502,7500,1,0,0,0,normal
50,79099,0.0,0.0,62.10275269,0.0,7502,7500,1,0,0,0,normal
51,80614,0.0,0.0,59.15969467,0.0,7502,7500,1,0,0,0,normal
52,82116,0.0,0.0,51.35305405,0.0,7502,7500,1,0,0,0,normal
53,83630,0.0,0.0,47.37782288,0.0,7502,7500,1,0,0,0,normal
54,85136,0.0,0.0,45.19131088,0.0,7502,7500,1,0,0,0,normal
55,86648,0.0,0.0,39.52895737,0.0,7502,7500,1,0,0,0,normal
56,88160,0.0,0.0,32.83731842,0.0,7502,7500,1,0,0,0,normal
57,89696,0.0,0.0,30.15235138,0.0,7502,7500,1,0,0,0,normal
58,91198,0.0,0.0,25.51743126,0.0,7502,7500,1,0,0,0,normal
59,92729,0.0,0.0,18.6958847,0.0,7502,7500,1,0,0,0,normal
60,94244,0.0,0.0,14.56828976,0.0,7502,7500,1,0,0,0,normal
61,95767,0.0,0.0,12.68994045,0.0,7502,7500,1,0,0,0,normal
62,97288,0.0,0.0,5.687797546,0.0,7502,7500,1,0,0,0,normal
63,98829,0.0,0.0,-0.091171257,0.0,7501,7500,0,1,0,0,normal
64,100378,-41.95273972,281.4636536,-0.123123169,0.49999997,7501,7500,0,1,0,0,normal
65,101897,39.86415863,299.5003052,-0.13772583,0.49999997,7501,7500,0,1,0,0,normal
66,103434,0.0,0.0,-0.133316025,0.474999964,7501,7500,0,1,0,0,normal
67,104956,130.5062256,324.4667358,-0.19947052,0.574999928,7501,7500,0,1,0,0,normal
68,106510,163.199173,310.55896,-0.162246704,0.62499994,7501,7500,0,1,0,0,normal
69,108050,220.3756409,331.9035339,-0.142250046,0.649999917,7501,7500,0,1,0,0,normal
70,109570,249.0363007,292.5222778,-0.16342926,0.62499994,7501,7500,0,1,0,0,normal
71,111096,308.1444092,251.9941254,-0.143119797,0.62499994,7501,7500,0,1,0,0,normal
72,112614,357.8598938,253.6963806,-0.200241089,0.649999917,7501,7500,0,1,0,0,normal
73,114309,384.1543274,260.3846741,-0.173423752,0.724999964,7501,7500,0,1,0,0,normal
74,116126,373.5544434,240.7302704,-0.197715744,0.699999928,7501,7500,0,1,0,0,normal
75,118081,429.1011047,204.2826691,-0.183151245,0.674999952,7501,7500,0,1,0,0,normal
76,119954,482.0641174,175.9721222,-0.17099762,0.724999964,7501,7500,0,1,0,0,normal
77,121506,537.2244873,167.967926,-0.193260178,0.774999976,7501,7500,0,1,0,0,normal
78,123058,598.2762451,155.0621643,-0.127700806,0.874999881,7501,7500,0,1,0,0,normal
79,124576,582.87146,152.8166351,-0.21672821,0.849999905,7501,7500,0,1,0,0,normal
80,126132,685.3931274,142.6151733,-0.189056396,0.974999905,7501,7500,0,1,0,0,normal
81,127708,700.9910889,133.6572113,-0.190994248,0.974999905,7501,7500,0,1,0,0,normal
82,129238,763.6848145,94.01036072,-0.139167786,1.024999857,7501,7500,0,1,0,0,normal
83,130773,751.6362305,86.23551941,-0.143348679,1.049999952,7501,7500,0,1,0,0,normal
84,132282,835.4450684,85.98199463,-0.141448975,1.149999857,7501,7500,0,1,0,0,normal
85,133824,910.1028442,67.94532776,-0.219894394,1.224999905,7501,7500,0,1,0,0,normal
86,135352,962.0276489,44.91056061,-0.129219055,1.349999905,7501,7500,0,1,0,0,normal
87,136858,981.4042969,26.06502724,-0.238906845,1.349999905,7501,7500,0,1,0,0,normal
88,138377,1022.946655,16.04465866,-0.123939514,1.374999881,7501,7500,0,1,0,0,normal
89,139907,1047.695679,17.66240692,-0.164985657,1.424999833,7501,7500,0,1,0,0,normal
90,141461,1083.515503,-26.70488167,-0.180534363,1.474999905,7500,7501,0,1,0,0,normal
91,142987,1034.476196,-7.714475155,-0.158634186,1.399999857,7500,7501,0,1,0,0,normal
