,Unnamed: 0,frame.number,TotW,TotVar,Phv.neut.ang,A.phsA,vsd1_speed,vsd2_speed,scada_q2c_sync_activated,q2c_in_sync,gen1_p_negative,gen2_p_negative,label
0,0,1435,0.0,0.0,-30.10843658,0.0,7500,7501,-1,0,0,0,0
1,1,2997,0.0,0.0,-28.46376419,0.0,7500,7501,-1,0,0,0,0
2,2,4584,0.0,0.0,-24.9697094,0.0,7500,7501,-1,0,0,0,0
3,3,6194,0.0,0.0,-23.12297821,0.0,7500,7501,-1,0,0,0,0
4,4,7950,0.0,0.0,-19.26362038,0.0,7500,7501,-1,0,0,0,0
5,5,9535,0.0,0.0,-18.53646278,0.0,7502,7501,1,0,0,0,0
6,6,11142,0.0,0.0,-20.6974926,0.0,7502,7501,1,0,0,0,0
7,7,12903,0.0,0.0,-22.34025002,0.0,7502,7501,1,0,0,0,0
8,8,14527,0.0,0.0,-24.42643166,0.0,7502,7501,1,0,0,0,0
9,9,16108,0.0,0.0,-25.40904617,0.0,7502,7501,1,0,0,0,0
10,10,17683,0.0,0.0,-28.2588253,0.0,7502,7501,1,0,0,0,0
11,11,19449,0.0,0.0,-29.5996418,0.0,7502,7501,1,0,0,0,0
12,12,21545,0.0,0.0,-32.68884277,0.0,7502,7501,1,0,0,0,0
13,13,23437,0.0,0.0,-34.43914413,0.0,7502,7501,1,0,0,0,0
14,14,25019,0.0,0.0,-38.97645569,0.0,7502,7501,1,0,0,0,0
15,15,26616,0.0,0.0,-41.71254349,0.0,7502,7501,1,0,0,0,0
16,16,28225,0.0,0.0,-44.15185928,0.0,7502,7501,1,0,0,0,0
17,17,29854,0.0,0.0,-46.1579628,0.0,7502,7501,1,0,0,0,0
18,18,31435,0.0,0.0,-47.9515152,0.0,7502,7501,1,0,0,0,0
19,19,33025,0.0,0.0,-50.1734848,0.0,7502,7501,1,0,0,0,0
20,20,34670,0.0,0.0,-52.11992645,0.0,7502,7501,1,0,0,0,0
21,21,36269,0.0,0.0,-55.96448517,0.0,7502,7501,1,0,0,0,0
22,22,37861,0.0,0.0,-57.27491379,0.0,7502,7501,1,0,0,0,0
23,23,39476,0.0,0.0,-58.26213837,0.0,7502,7501,1,0,0,0,0
24,24,41040,0.0,0.0,-60.16812134,0.0,7502,7501,1,0,0,0,0
25,25,42664,0.0,0.0,-61.93798447,0.0,7502,7501,1,0,0,0,0
26,26,44269,0.0,0.0,-66.2333374,0.0,7502,7501,1,0,0,0,0
27,27,45894,0.0,0.0,-67.87134552,0.0,7502,7501,1,0,0,0,0
28,28,47468,0.0,0.0,-70.51624298,0.0,7502,7501,1,0,0,0,0
29,29,49114,0.0,0.0,-73.13252258,0.0,7502,7501,1,0,0,0,0
30,30,50724,0.0,0.0,-75.3788681,0.0,7502,7501,1,0,0,0,0
31,31,52337,0.0,0.0,-78.94267273,0.0,7502,7501,1,0,0,0,0
32,32,53898,0.0,0.0,-80.71998596,0.0,7502,7501,1,0,0,0,0
33,33,55499,0.0,0.0,-83.26951599,0.0,7502,7501,1,0,0,0,0
34,34,57216,0.0,0.0,-84.20909882,0.0,7502,7501,1,0,0,0,0
35,35,58893,0.0,0.0,-88.81240082,0.0,7502,7501,1,0,0,0,0
36,36,60671,0.0,0.0,-90.94619751,0.0,7502,7501,1,0,0,0,0
37,37,62309,0.0,0.0,-92.67475128,0.0,7502,7501,1,0,0,0,0
38,38,63911,0.0,0.0,-93.32749176,0.0,7502,7501,1,0,0,0,0
39,39,65504,0.0,0.0,-97.4552002,0.0,7502,7501,1,0,0,0,0
40,40,67181,0.0,0.0,-98.95580292,0.0,7502,7501,1,0,0,0,0
41,41,69164,0.0,0.0,-102.2330627,0.0,7502,7501,1,0,0,0,0
42,42,71161,0.0,0.0,-104.2215881,0.0,7502,7501,1,0,0,0,0
43,43,72865,0.0,0.0,-108.4691925,0.0,7502,7501,1,0,0,0,0
44,44,74435,0.0,0.0,-110.6602249,0.0,7502,7501,1,0,0,0,0
45,45,76052,0.0,0.0,-112.4501572,0.0,7502,7501,1,0,0,0,0
46,46,77659,0.0,0.0,-115.4797363,0.0,7502,7501,1,0,0,0,0
47,47,79294,0.0,0.0,-116.852478,0.0,7502,7501,1,0,0,0,0
48,48,80885,0.0,0.0,-118.5801773,0.0,7502,7501,1,0,0,0,0
49,49,82479,0.0,0.0,-119.8505783,0.0,7502,7501,1,0,0,0,0
50,50,84057,0.0,0.0,-121.8168564,0.0,7502,7501,1,0,0,0,0
51,51,85669,0.0,0.0,-124.5115967,0.0,7502,7501,1,0,0,0,0
52,52,87269,0.0,0.0,-126.7232819,0.0,7502,7501,1,0,0,0,0
53,53,88850,0.0,0.0,-129.0844727,0.0,7502,7501,1,0,0,0,0
54,54,90399,0.0,0.0,-131.1265564,0.0,7502,7501,1,0,0,0,0
55,55,92015,0.0,0.0,-134.1265717,0.0,7502,7501,1,0,0,0,0
56,56,93630,0.0,0.0,-135.8126831,0.0,7502,7501,1,0,0,0,0
57,57,95252,0.0,0.0,-139.0087891,0.0,7502,7501,1,0,0,0,0
58,58,96836,0.0,0.0,-142.0184631,0.0,7502,7501,1,0,0,0,0
59,59,98411,0.0,0.0,-143.6333618,0.0,7502,7501,1,0,0,0,0
60,60,100003,0.0,0.0,-147.7967224,0.0,7502,7501,1,0,0,0,0
