,frame.number,TotW,TotVar,Phv.neut.ang,A.phsA,vsd1_speed,vsd2_speed,scada_q2c_sync_activated,q2c_in_sync,gen1_p_negative,gen2_p_negative,label
0,28,0.0,0.0,-52.43269348,0.0,7500,7500,-1,0,0,0,normal
1,1691,0.0,0.0,-50.34028244,0.0,7500,7501,-1,0,0,0,normal
2,3373,0.0,0.0,-49.60567856,0.0,7500,7501,-1,0,0,0,normal
3,5015,0.0,0.0,-47.09365845,0.0,7500,7501,-1,0,0,0,normal
4,6598,0.0,0.0,-42.07239914,0.0,7500,7501,-1,0,0,0,normal
5,8275,0.0,0.0,-41.35271072,0.0,7500,7501,-1,0,0,0,normal
6,10191,0.0,0.0,-38.71690369,0.0,7500,7501,-1,0,0,0,normal
7,12179,0.0,0.0,-34.06471634,0.0,7500,7501,-1,0,0,0,normal
8,14152,0.0,0.0,-33.71272278,0.0,7500,7501,-1,0,0,0,normal
9,15805,0.0,0.0,-32.28110504,0.0,7500,7501,-1,0,0,0,normal
10,17721,0.0,0.0,-28.90084076,0.0,7502,7501,1,0,0,0,normal
11,19389,0.0,0.0,-27.80418015,0.0,7502,7501,1,0,0,0,normal
12,21014,0.0,0.0,-30.57019615,0.0,7502,7501,1,0,0,0,normal
13,22647,0.0,0.0,-32.147892,0.0,7502,7501,1,0,0,0,normal
14,24268,0.0,0.0,-35.00973892,0.0,7502,7501,1,0,0,0,normal
15,25914,0.0,0.0,-38.26607895,0.0,7502,7501,1,0,0,0,normal
16,27570,0.0,0.0,-39.23198318,0.0,7502,7501,1,0,0,0,normal
17,29231,0.0,0.0,-43.2677002,0.0,7502,7501,1,0,0,0,normal
18,30850,0.0,0.0,-44.11656189,0.0,7502,7501,1,0,0,0,normal
19,32465,0.0,0.0,-46.34101868,0.0,7502,7501,1,0,0,0,normal
20,34135,0.0,0.0,-52.79428101,0.0,7502,7501,1,0,0,0,normal
21,35788,0.0,0.0,-53.62515259,0.0,7502,7501,1,0,0,0,normal
22,37431,0.0,0.0,-56.27225876,0.0,7502,7501,1,0,0,0,normal
23,39097,0.0,0.0,-60.63719559,0.0,7502,7501,1,0,0,0,normal
24,40719,0.0,0.0,-61.16267776,0.0,7502,7501,1,0,0,0,normal
25,42334,0.0,0.0,-65.27140808,0.0,7502,7501,1,0,0,0,normal
26,44002,0.0,0.0,-68.94086456,0.0,7502,7501,1,0,0,0,normal
27,45630,0.0,0.0,-69.8915329,0.0,7502,7501,1,0,0,0,normal
28,47259,0.0,0.0,-72.45830536,0.0,7502,7501,1,0,0,0,normal
29,48887,0.0,0.0,-75.86981201,0.0,7502,7501,1,0,0,0,normal
30,50519,0.0,0.0,-77.20681763,0.0,7502,7501,1,0,0,0,normal
31,52178,0.0,0.0,-80.40652466,0.0,7502,7501,1,0,0,0,normal
32,53791,0.0,0.0,-82.43743896,0.0,7502,7501,1,0,0,0,normal
33,55405,0.0,0.0,-84.63696289,0.0,7502,7501,1,0,0,0,normal
34,56989,0.0,0.0,-88.3026123,0.0,7502,7501,1,0,0,0,normal
35,58777,0.0,0.0,-90.42470551,0.0,7502,7501,1,0,0,0,normal
36,60947,0.0,0.0,-91.34835815,0.0,7502,7501,1,0,0,0,normal
37,62683,0.0,0.0,-94.66662598,0.0,7502,7501,1,0,0,0,normal
38,64570,0.0,0.0,-97.92913055,0.0,7502,7501,1,0,0,0,normal
39,66177,0.0,0.0,-98.1644516,0.0,7502,7501,1,0,0,0,normal
40,68207,0.0,0.0,-103.3279724,0.0,7502,7501,1,0,0,0,normal
41,69831,0.0,0.0,-105.220993,0.0,7502,7501,1,0,0,0,normal
42,71482,0.0,0.0,-106.4216385,0.0,7502,7501,1,0,0,0,normal
43,73135,0.0,0.0,-111.1099625,0.0,7502,7501,1,0,0,0,normal
44,74780,0.0,0.0,-112.5439453,0.0,7502,7501,1,0,0,0,normal
45,76407,0.0,0.0,-115.6544724,0.0,7502,7501,1,0,0,0,normal
46,78059,0.0,0.0,-117.9166031,0.0,7502,7501,1,0,0,0,normal
47,79794,0.0,0.0,-119.8611221,0.0,7502,7501,1,0,0,0,normal
48,81438,0.0,0.0,-121.9879303,0.0,7502,7501,1,0,0,0,normal
49,83062,0.0,0.0,-126.9272308,0.0,7502,7501,1,0,0,0,normal
50,84690,0.0,0.0,-127.5723343,0.0,7502,7501,1,0,0,0,normal
51,86362,0.0,0.0,-131.1013947,0.0,7502,7501,1,0,0,0,normal
52,88004,0.0,0.0,-133.5099945,0.0,7502,7501,1,0,0,0,normal
53,89607,0.0,0.0,-135.1954193,0.0,7502,7501,1,0,0,0,normal
54,91221,0.0,0.0,-139.2220154,0.0,7502,7501,1,0,0,0,normal
55,92939,0.0,0.0,-141.2285309,0.0,7502,7501,1,0,0,0,normal
56,94634,0.0,0.0,-143.4466095,0.0,7502,7501,1,0,0,0,normal
57,96224,0.0,0.0,-146.7339935,0.0,7502,7501,1,0,0,0,normal
58,97894,0.0,0.0,-148.0635681,0.0,7502,7501,1,0,0,0,normal
59,99487,0.0,0.0,-151.9480286,0.0,7502,7501,1,0,0,0,normal
60,101159,0.0,0.0,-155.1331177,0.0,7502,7501,1,0,0,0,normal
61,102800,0.0,0.0,-156.9147797,0.0,7502,7501,1,0,0,0,normal
62,104455,0.0,0.0,-160.2760315,0.0,7502,7501,1,0,0,0,normal
63,106103,0.0,0.0,-162.5967255,0.0,7502,7501,1,0,0,0,normal
64,107727,0.0,0.0,-165.0333862,0.0,7502,7501,1,0,0,0,normal
65,109569,0.0,0.0,-168.5874023,0.0,7502,7501,1,0,0,0,normal
66,111680,0.0,0.0,-169.6706848,0.0,7502,7501,1,0,0,0,normal
67,113598,0.0,0.0,-173.8798065,0.0,7502,7501,1,0,0,0,normal
68,115238,0.0,0.0,-176.4998932,0.0,7502,7501,1,0,0,0,normal
69,117184,0.0,0.0,-178.0928955,0.0,7502,7501,1,0,0,0,normal
70,118824,0.0,0.0,178.3362122,0.0,7502,7501,1,0,0,0,normal
71,120520,0.0,0.0,172.7744598,0.0,7502,7501,1,0,0,0,normal
72,122136,0.0,0.0,170.0939026,0.0,7502,7501,1,0,0,0,normal
73,123801,0.0,0.0,168.9085083,0.0,7502,7501,1,0,0,0,normal
74,125432,0.0,0.0,164.666153,0.0,7502,7501,1,0,0,0,normal
75,127110,0.0,0.0,164.0146484,0.0,7502,7501,1,0,0,0,normal
76,128753,0.0,0.0,160.6457672,0.0,7502,7501,1,0,0,0,normal
77,130375,0.0,0.0,158.2853851,0.0,7502,7501,1,0,0,0,normal
78,132013,0.0,0.0,156.3805237,0.0,7502,7501,1,0,0,0,normal
79,133656,0.0,0.0,152.9618378,0.0,7502,7501,1,0,0,0,normal
80,135291,0.0,0.0,150.6378326,0.0,7502,7501,1,0,0,0,normal
81,136926,0.0,0.0,148.6978302,0.0,7502,7501,1,0,0,0,normal
82,138551,0.0,0.0,144.3899384,0.0,7502,7501,1,0,0,0,normal
83,140176,0.0,0.0,145.0548401,0.0,7502,7501,1,0,0,0,normal
84,141812,0.0,0.0,140.4532623,0.0,7502,7501,1,0,0,0,normal
85,143464,0.0,0.0,138.8299561,0.0,7502,7501,1,0,0,0,normal
86,145115,0.0,0.0,135.207962,0.0,7502,7501,1,0,0,0,normal
87,146736,0.0,0.0,132.7837219,0.0,7502,7501,1,0,0,0,normal
88,148382,0.0,0.0,130.8808899,0.0,7502,7501,1,0,0,0,normal
89,149985,0.0,0.0,127.9002609,0.0,7502,7501,1,0,0,0,normal
90,151648,0.0,0.0,126.1559372,0.0,7502,7501,1,0,0,0,normal
91,153285,0.0,0.0,124.4053726,0.0,7502,7501,1,0,0,0,normal
92,154920,0.0,0.0,121.221344,0.0,7502,7501,1,0,0,0,normal
93,156552,0.0,0.0,120.22995,0.0,7502,7501,1,0,0,0,normal
94,158180,0.0,0.0,116.4836121,0.0,7502,7501,1,0,0,0,normal
95,160158,0.0,0.0,115.5317459,0.0,7502,7501,1,0,0,0,normal
96,162150,0.0,0.0,112.0642395,0.0,7502,7501,1,0,0,0,normal
97,164095,0.0,0.0,110.2813339,0.0,7502,7501,1,0,0,0,normal
98,165712,0.0,0.0,107.9706192,0.0,7502,7501,1,0,0,0,normal
99,167753,0.0,0.0,105.5725784,0.0,7502,7501,1,0,0,0,normal
100,169388,0.0,0.0,103.7281799,0.0,7502,7501,1,0,0,0,normal
101,171033,0.0,0.0,100.6885834,0.0,7502,7501,1,0,0,0,normal
102,172661,0.0,0.0,98.5226059,0.0,7502,7501,1,0,0,0,normal
103,174298,0.0,0.0,96.77021027,0.0,7502,7501,1,0,0,0,normal
104,175947,0.0,0.0,93.26700592,0.0,7502,7501,1,0,0,0,normal
105,177576,0.0,0.0,92.02294922,0.0,7502,7501,1,0,0,0,normal
106,179209,0.0,0.0,88.46721649,0.0,7502,7501,1,0,0,0,normal
107,180822,0.0,0.0,86.97366333,0.0,7502,7501,1,0,0,0,normal
108,182453,0.0,0.0,84.24713135,0.0,7502,7501,1,0,0,0,normal
109,184125,0.0,0.0,82.0565567,0.0,7502,7501,1,0,0,0,normal
110,185776,0.0,0.0,80.18003082,0.0,7502,7501,1,0,0,0,normal
111,187424,0.0,0.0,77.5125885,0.0,7502,7501,1,0,0,0,normal
112,189051,0.0,0.0,75.59101105,0.0,7502,7501,1,0,0,0,normal
113,190779,0.0,0.0,72.43634796,0.0,7502,7501,1,0,0,0,normal
114,192462,0.0,0.0,70.82975769,0.0,7502,7501,1,0,0,0,normal
115,194094,0.0,0.0,68.74144745,0.0,7502,7501,1,0,0,0,normal
116,195684,0.0,0.0,65.52426147,0.0,7502,7501,1,0,0,0,normal
117,197334,0.0,0.0,63.5766983,0.0,7502,7501,1,0,0,0,normal
118,198980,0.0,0.0,59.88472366,0.0,7502,7501,1,0,0,0,normal
119,200636,0.0,0.0,58.14157104,0.0,7502,7501,1,0,0,0,normal
