,Unnamed: 0,frame.number,TotW,TotVar,Phv.neut.ang,A.phsA,vsd1_speed,vsd2_speed,scada_q2c_sync_activated,q2c_in_sync,gen1_p_negative,gen2_p_negative,label
0,0,131,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
1,1,1547,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
2,2,2932,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
3,3,4487,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
4,4,6017,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
5,5,7401,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
6,6,8822,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
7,7,10429,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
8,8,11952,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
9,9,13370,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
10,10,14762,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
11,11,16366,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
12,12,17917,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
13,13,19309,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
14,14,20687,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
15,15,22061,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
16,16,23488,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
17,17,24900,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
18,18,26302,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
19,19,27948,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
20,20,29474,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
21,21,30940,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
22,22,32436,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
23,23,34101,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
24,24,35572,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
25,25,37061,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
26,26,38557,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
27,27,40059,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
28,28,41570,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
29,29,43276,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
30,30,44831,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
31,31,46385,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
32,32,48145,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
33,33,49804,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
34,34,51414,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
35,35,52953,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
36,36,54498,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
37,37,56244,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
38,38,57931,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
39,39,59495,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
40,40,61062,0.0,0.0,0.0,0.0,7500,7500,-1,0,0,0,0
