,Unnamed: 0.1,Unnamed: 0,TotW,TotVar,A.phsA,Phv.neut.ang,modbus_speed,scada_q2c_sync_activated,q2c_in_sync,gen1_p_negative,gen2_p_negative,status
0,0,0,0.0,0.0,0.0,-74.3900146484375,-7488.0,0,0,0,0,Normal
1,1,1,0.0,0.0,0.0,-69.69114685058594,-7488.0,0,0,0,0,Normal
2,2,2,0.0,0.0,0.0,-68.77944946289062,-7488.0,0,0,0,0,Normal
3,3,3,0.0,0.0,0.0,-67.19744873046875,-7488.0,0,0,0,0,Normal
4,4,4,0.0,0.0,0.0,-63.18489837646485,-7488.0,0,0,0,0,Normal
5,5,5,0.0,0.0,0.0,-60.38599395751953,-7488.0,0,0,0,0,Normal
6,6,6,0.0,0.0,0.0,-57.83522415161133,-7488.0,0,0,0,0,Normal
7,7,7,0.0,0.0,0.0,-55.55268096923828,-7488.0,0,0,0,0,Normal
8,8,8,0.0,0.0,0.0,-54.59953689575195,-7488.0,0,0,0,0,Normal
9,9,9,0.0,0.0,0.0,-50.657859802246094,-7488.0,0,0,0,0,Normal
10,10,10,0.0,0.0,0.0,-54.18095397949219,-7487.0,0,0,0,0,Normal
11,11,11,0.0,0.0,0.0,-53.69309616088867,-7487.0,0,0,0,0,Normal
12,12,12,0.0,0.0,0.0,-58.23746490478516,-7487.0,0,0,0,0,Normal
13,13,13,0.0,0.0,0.0,-61.62574005126953,-7487.0,0,0,0,0,Normal
14,14,14,0.0,0.0,0.0,-64.68538665771484,-7487.0,0,0,0,0,Normal
15,15,15,0.0,0.0,0.0,-65.24044036865234,-7487.0,0,0,0,0,Normal
16,16,16,0.0,0.0,0.0,-69.60733032226562,-7487.0,0,0,0,0,Normal
17,17,17,0.0,0.0,0.0,-72.33230590820312,-7487.0,0,0,0,0,Normal
18,18,18,0.0,0.0,0.0,-73.61552429199219,-7487.0,0,0,0,0,Normal
19,19,19,0.0,0.0,0.0,-75.95208740234375,-7487.0,0,0,0,0,Normal
20,20,20,0.0,0.0,0.0,-77.24295043945312,-7487.0,0,0,0,0,Normal
21,21,21,0.0,0.0,0.0,-79.48970794677734,-7487.0,0,0,0,0,Normal
22,22,22,0.0,0.0,0.0,-82.46630096435547,-7487.0,0,0,0,0,Normal
23,23,23,0.0,0.0,0.0,-83.43486785888672,-7487.0,0,0,0,0,Normal
24,24,24,0.0,0.0,0.0,-87.17742156982422,-7487.0,0,0,0,0,Normal
25,25,25,0.0,0.0,0.0,-88.76351928710938,-7487.0,0,0,0,0,Normal
26,26,26,0.0,0.0,0.0,-90.97796630859376,-7487.0,0,0,0,0,Normal
27,27,27,0.0,0.0,0.0,-92.36773681640624,-7487.0,0,0,0,0,Normal
28,28,28,0.0,0.0,0.0,-95.55284881591795,-7487.0,0,0,0,0,Normal
29,29,29,0.0,0.0,0.0,-99.78125,-7487.0,0,0,0,0,Normal
30,30,30,0.0,0.0,0.0,-99.47137451171876,-7487.0,0,0,0,0,Normal
31,31,31,0.0,0.0,0.0,-102.0609359741211,-7487.0,0,0,0,0,Normal
32,32,32,0.0,0.0,0.0,-104.2520980834961,-7487.0,0,0,0,0,Normal
